Question;Question Type
"PASSAGE EXCERPT: “. . . Sculptures must, for example, be stable, which requires an 
understanding of the properties of mass, weight distribution, and stress. Paintings must 
have rigid stretchers so that the canvas will be taut, and the paint must not deteriorate, crack, 
or discolor. These are problems that must be overcome by the artist because they tend to 
intrude upon his or her conception of the work. For example, in the early Italian Renaissance, 
bronze statues of horses with a raised foreleg usually had a cannonball under that hoof. This 
was done because the cannonball was needed to support the weight of the leg. In other 
words, the demands of the laws of physics, not the sculptor’s aesthetic intentions, placed the 
ball there. That this device was a necessary structural compromise is clear from the fact that 
the cannonball quickly disappeared when sculptors learned how to strengthen the internal 
structure of a statue with iron braces (iron being much stronger than bronze) . . . ”  
According to paragraph 2, sculptors in the Italian Renaissance stopped using cannonballs 
in bronze statues of horses because 
A they began using a material that made the statues weigh less 
B they found a way to strengthen the statues internally 
C the aesthetic tastes of the public had changed over time 
D the cannonballs added too much weight to the statues"; Factual Information Question
"PASSAGE EXCERPT: “The United States in the 1800s was full of practical, hardworking 
people who did not consider the arts—from theater to painting—useful occupations. 
In addition, the public’s attitude that European art was better than American art both 
discouraged and infuriated American artists. In the early 1900s there was a strong feeling 
among artists that the United States was long overdue in developing art that did not 
reproduce European traditions. Everybody agreed that the heart and soul of the new country 
should be reflected in its art. But opinions differed about what this art would be like and how 
it would develop.” 
According to paragraph 1, all of the following were true of American art in the late 1800s 
and early 1900s EXCEPT: 
A Most Americans thought art was unimportant. 
B American art generally copied European styles and traditions. 
C Most Americans considered American art inferior to European art. 
D American art was very popular with European audiences.";Negative Factual Information Question
" PASSAGE EXCERPT: “. . . The nineteenth century brought with it a burst of new discoveries 
and inventions that revolutionized the candle industry and made lighting available to all. 
In the early-to-mid-nineteenth century, a process was developed to refine tallow (fat from 
animals) with alkali and sulfuric acid. The result was a product called stearin. Stearin is harder 
and burns longer than unrefined tallow. This breakthrough meant that it was possible to 
make tallow candles that would not produce the usual smoke and rancid odor. Stearins were 
also derived from palm oils, so vegetable waxes as well as animal fats could be used to make 
candles . . . ” 
Which of the following can be inferred from paragraph 1 about candles before the nine
teenth century? 
A They did not smoke when they were burned. 
B They produced a pleasant odor as they burned. 
C They were not available to all. 
D They contained sulfuric acid.";Inference Question
"PASSAGE EXCERPT: “. . . Sensitivity to physical laws is thus an important consideration 
for the maker of applied-art objects. It is often taken for granted that this is also true for 
the maker of fine-art objects. This assumption misses a significant difference between 
the two disciplines. Fine-art objects are not constrained by the laws of physics in the same 
way that applied-art objects are. Because their primary purpose is not functional, they are 
only limited in terms of the materials used to make them. Sculptures must, for example, 
be stable, which requires an understanding of the properties of mass, weight distribution, 
and stress. Paintings must have rigid stretchers so that the canvas will be taut, and the paint 
must not deteriorate, crack, or discolor. These are problems that must be overcome by the 
artist because they tend to intrude upon his or her conception of the work. For example, in 
the early Italian Renaissance, bronze statues of horses with a raised foreleg usually had a 
cannonball under that hoof. This was done because the cannonball was needed to support 
the weight of the leg . . . ” 
Why does the author discuss the “ bronze statues of horses ” created by artists in the early 
Italian Renaissance? 
A To provide an example of a problem related to the laws of physics that a fine artist 
must overcome 
B To argue that fine artists are unconcerned with the laws of physics 
C To contrast the relative sophistication of modern artists in solving problems related to 
the laws of physics 
D To note an exceptional piece of art constructed without the aid of technology"; Rhetorical Purpose Question
"PASSAGE EXCERPT: “In the animal world the task of moving about is fulfilled in many ways. 
For some animals locomotion is accomplished by changes in body shape . . .” 
The word “ locomotion ” in the passage is closest in meaning to 
A evolution 
B movement 
C survival 
D escape ";Vocabulary Question
"PASSAGE EXCERPT: “Some poisonous snake bites need to be treated immediately or the 
victim will suffer paralysis . . .” 
In stating that the victim will “ suffer paralysis ” the author means that the victim will 
A lose the ability to move 
B become unconscious 
C undergo shock 
D feel great pain ";Vocabulary Question
" PASSAGE EXCERPT: “. . . These laws are universal in their application, regardless of cultural 
beliefs, geography, or climate. If pots have no bottoms or have large openings in their sides, 
they could hardly be considered containers in any traditional sense. Since the laws of physics, 
not some arbitrary decision, have determined the general form of applied-art objects, they 
follow basic patterns, so much so that functional forms can vary only within certain limits . . . ”  
The word “ they ” in the passage refers to
A applied-art objects 
B the laws of physics 
C containers 
D the sides of pots";Reference Question
"PASSAGE EXCERPT: “. . . The first weekly newspaper in the colonies was the Boston Gazette, 
established in 1719, the same year that marked the appearance of Philadelphia’s first newspa
per, the American Mercury, where the young Benjamin Franklin worked. By 1760 Boston had 
4 newspapers and 5 other printing establishments; Philadelphia, 2 newspapers and 3 other 
presses; and New York, 3 newspapers. The distribution, if not the sale, of newspapers was 
assisted by the establishment of a postal service in 1710, which had a network of some 65 
offices by 1770, serving all 13 colonies . . .”                                                                                                                        The word “ which ” in the passage refers to 
A distribution 
B newspaper   
C sale
D postal service ";Reference Question
"PASSAGE EXCERPT: “. . . Roots anchor the plant in one of two ways or sometimes by a com
bination of the two. The first is by occupying a large volume of shallow soil around the plant’s 
base with a fibrous root system, one consisting of many thin, profusely branched roots. Since 
these kinds of roots grow relatively close to the soil surface, they effectively control soil ero
sion. Grass roots are especially well suited to this purpose . Fibrous roots capture water as it 
begins to percolate into the ground and so must draw their mineral supplies from the surface 
soil before the nutrients are leached to lower levels . . .” 
The phrase “ this purpose ” in the passage refers to 
A combining two root systems 
B feeding the plant 
C preventing soil erosion 
D leaching nutrients";Reference Question
" PASSAGE EXCERPT: “. . . Although we now tend to refer to the various crafts according to 
the materials used to construct them—clay, glass, wood, fiber, and metal—it was once 
common to think of crafts in terms of function, which led to their being known as the 
“applied arts.” Approaching crafts from the point of view of function, we can divide them 
into simple categories: containers, shelters, and supports. There is no way around the fact 
that containers, shelters, and supports must be functional. The applied arts are thus bound 
by the laws of physics, which pertain to both the materials used in their making and the 
substances and things to be contained, supported, and sheltered. These laws are universal in 
their application, regardless of cultural beliefs, geography, or climate. If a pot has no bottom 
or has large openings in its sides, it could hardly be considered a container in any traditional 
sense. Since the laws of physics, not some arbitrary decision, have determined the general 
form of applied-art objects, they follow basic patterns, so much so that functional forms can 
vary only within certain limits. Buildings without roofs, for example, are unusual because 
they depart from the norm. However, not all functional objects are exactly alike; that is why 
we recognize a Shang Dynasty vase as being different from an Inca vase. What varies is not 
the basic form but the incidental details that do not obstruct the object’s primary function . . .”
 Which of the following best expresses the essential information in the highlighted sen
tence? Incorrect answer choices change the meaning in important ways or leave out es
sential information. 
A Functional applied-art objects cannot vary much from the basic patterns determined 
by the laws of physics. 
B The function of applied-art objects is determined by basic patterns in the laws of 
physics.
C Since functional applied-art objects vary only within certain limits, arbitrary decisions 
cannot have determined their general form. 
D The general form of applied-art objects is limited by some arbitrary decision that is 
not determined by the laws of physics.";Sentence Simplification Question
